Simple Transaction Products ,10,525,420,669,669,673,402,673,0.000%,14.53488,11.67,7.76
Complex _Transactions,10,263,217,328,328,331,203,331,0.000%,16.47446,5.87,8.11
Simplesteps,10,268,209,334,334,342,207,342,0.000%,13.62398,9.01,7.93
Simple_Transaction_products ,10,269,211,336,336,337,206,337,0.000%,11.58749,11.03,5.77
Complexsteps,10,269,210,340,340,344,203,344,0.000%,10.11122,7.48,5.90
Complex_Transaction_products,10,313,215,391,391,692,203,692,0.000%,6.79348,5.03,3.97
Simple_Transaction_product,10,280,197,414,414,659,194,659,0.000%,6.26174,5.00,3.34
TOTAL,70,312,309,420,659,673,194,692,0.000%,22.92076,16.54,12.47
